awayTeam,homeTeam,venue_name,homeDateTime,high_temperature,low_temperature,precipitation (mm),percentile_score,score
LAL,DEN,Ball Arena,2023-10-24,67.96,45.79,0.11,65.71892770105605,53.45402609862419
PHX,GSW,Chase Center,2023-10-24,66.78,55.4,0.0,13.80991064175467,24.800796541786134
ATL,CHA,Spectrum Center,2023-10-25,75.65,42.17,0.0,41.02355808285946,42.32746556789289
WAS,IND,Gainbridge Fieldhouse,2023-10-25,72.23,61.45,0.0,6.255077173030056,16.856312332719686
BOS,NYK,Madison Square Garden,2023-10-25,73.13,50.45,0.0,23.23314378554021,32.18340168866467
HOU,ORL,Kia Center,2023-10-25,82.29,67.86,0.0,2.1933387489845653,11.51894981347361
CLE,BKN,Barclays Center,2023-10-25,72.63,51.22,0.0,22.01462225832656,31.120100427704983
DET,MIA,Kaseya Center,2023-10-25,84.07,76.6,0.0,0.08123476848090982,5.875778808327172
MIN,TOR,Scotiabank Arena,2023-10-25,66.96,58.91,0.0,9.017059301380991,19.978097183290743
OKC,CHI,United Center,2023-10-25,66.94,59.32,5.36,21.933387489845654,31.113386128850888
NOP,MEM,FedExForum,2023-10-25,82.98,62.94,0.0,5.036555645816409,15.558472995236729
SAC,UTA,Delta Center,2023-10-25,72.27,52.48,0.0,19.17140536149472,29.238225923280428
DAL,SAS,Frost Bank Center,2023-10-25,87.62,74.97,0.0,0.3249390739236393,6.552756161137408
POR,LAC,Crypto.com Arena,2023-10-25,69.4,63.18,0.0,4.8740861088545895,15.377153750772148
PHI,MIL,Fiserv Forum,2023-10-26,64.42,60.94,13.5,18.92770105605199,29.05884737836945
PHX,LAL,Crypto.com Arena,2023-10-26,71.83,60.31,0.0,7.2705117790414295,18.177221111169718
DET,CHA,Spectrum Center,2023-10-27,78.03,55.33,0.0,13.89114541023558,24.913625460291723
DEN,MEM,FedExForum,2023-10-27,80.22,70.3,0.0,1.4622258326563768,10.091356213507005
NYK,ATL,State Farm Arena,2023-10-27,76.96,57.22,0.0,11.73842404549147,22.58111047580152
MIA,BOS,TD Garden,2023-10-27,77.77,60.03,0.0,7.554833468724613,18.445257117873076
OKC,CLE,Rocket Mortgage FieldHouse,2023-10-27,75.61,64.63,0.0,3.655564581640942,13.739667008030922
TOR,CHI,United Center,2023-10-27,70.83,47.46,0.35,60.438667749796906,51.50409183396768
